t uniform_x uniform_y uniform_z chordal_x chordal_y chordal_z
0.365 -0.449322 -0.41868 0.789187 -0.40779 -0.409565 0.816066
0.366 -0.453783 -0.419316 0.786292 -0.412734 -0.410954 0.812876
0.367 -0.458245 -0.419884 0.783396 -0.4177 -0.412266 0.809669
0.368 -0.462706 -0.420386 0.780499 -0.422686 -0.4135 0.806446
0.369 -0.467166 -0.420822 0.777602 -0.42769 -0.414654 0.803208
0.37 -0.471625 -0.42119 0.774706 -0.432712 -0.415729 0.799956
0.371 -0.476082 -0.421492 0.77181 -0.437751 -0.416722 0.796691
0.372 -0.480537 -0.421726 0.768915 -0.442806 -0.417632 0.793414
0.373 -0.484989 -0.421894 0.766023 -0.447875 -0.41846 0.790126
0.374 -0.489438 -0.421995 0.763132 -0.452957 -0.419203 0.786828
0.375 -0.493883 -0.422028 0.760245 -0.458051 -0.419861 0.783522
0.376 -0.498324 -0.421995 0.75736 -0.463155 -0.420433 0.780207
0.377 -0.502759 -0.421894 0.754479 -0.468268 -0.420919 0.776886
0.378 -0.50719 -0.421726 0.751602 -0.473389 -0.421318 0.77356
0.379 -0.511614 -0.421492 0.748729 -0.478516 -0.421628 0.770229
0.38 -0.516032 -0.42119 0.745862 -0.483647 -0.42185 0.766895
0.381 -0.520443 -0.420822 0.743 -0.488781 -0.421984 0.763559
0.382 -0.524846 -0.420386 0.740143 -0.493917 -0.422028 0.760222
0.383 -0.529241 -0.419884 0.737293 -0.499053 -0.421983 0.756886
