x f[0] f[1] f[2] f[3] f[0,1] f[1,2] f[2,3] f[0,1,2] f[1,2,3] f[0,1,2,3]
1.380000 0.000000 0.000000 0.384400 2.624400 0.000000 0.384400 2.240000 0.192200 0.927800 0.245200
1.390000 0.000000 0.000000 0.372100 2.592100 0.000000 0.372100 2.220000 0.186050 0.923950 0.245967
1.400000 0.000000 0.000000 0.360000 2.560000 0.000000 0.360000 2.200000 0.180000 0.920000 0.246667
1.410000 0.000000 0.000000 0.348100 2.528100 0.000000 0.348100 2.180000 0.174050 0.915950 0.247300
1.420000 0.000000 0.000000 0.336400 2.496400 0.000000 0.336400 2.160000 0.168200 0.911800 0.247867
1.430000 0.000000 0.000000 0.324900 2.464900 0.000000 0.324900 2.140000 0.162450 0.907550 0.248367
1.440000 0.000000 0.000000 0.313600 2.433600 0.000000 0.313600 2.120000 0.156800 0.903200 0.248800
1.450000 0.000000 0.000000 0.302500 2.402500 0.000000 0.302500 2.100000 0.151250 0.898750 0.249167
1.460000 0.000000 0.000000 0.291600 2.371600 0.000000 0.291600 2.080000 0.145800 0.894200 0.249467
1.470000 0.000000 0.000000 0.280900 2.340900 0.000000 0.280900 2.060000 0.140450 0.889550 0.249700
1.480000 0.000000 0.000000 0.270400 2.310400 0.000000 0.270400 2.040000 0.135200 0.884800 0.249867
1.490000 0.000000 0.000000 0.260100 2.280100 0.000000 0.260100 2.020000 0.130050 0.879950 0.249967
1.500000 0.000000 0.000000 0.250000 2.250000 0.000000 0.250000 2.000000 0.125000 0.875000 0.250000
1.510000 0.000000 0.000000 0.240100 2.220100 0.000000 0.240100 1.980000 0.120050 0.869950 0.249967
1.520000 0.000000 0.000000 0.230400 2.190400 0.000000 0.230400 1.960000 0.115200 0.864800 0.249867
1.530000 0.000000 0.000000 0.220900 2.160900 0.000000 0.220900 1.940000 0.110450 0.859550 0.249700
1.540000 0.000000 0.000000 0.211600 2.131600 0.000000 0.211600 1.920000 0.105800 0.854200 0.249467
1.550000 0.000000 0.000000 0.202500 2.102500 0.000000 0.202500 1.900000 0.101250 0.848750 0.249167
1.560000 0.000000 0.000000 0.193600 2.073600 0.000000 0.193600 1.880000 0.096800 0.843200 0.248800
1.570000 0.000000 0.000000 0.184900 2.044900 0.000000 0.184900 1.860000 0.092450 0.837550 0.248367
1.580000 0.000000 0.000000 0.176400 2.016400 0.000000 0.176400 1.840000 0.088200 0.831800 0.247867
1.590000 0.000000 0.000000 0.168100 1.988100 0.000000 0.168100 1.820000 0.084050 0.825950 0.247300
1.600000 0.000000 0.000000 0.160000 1.960000 0.000000 0.160000 1.800000 0.080000 0.820000 0.246667
1.610000 0.000000 0.000000 0.152100 1.932100 0.000000 0.152100 1.780000 0.076050 0.813950 0.245967
1.620000 0.000000 0.000000 0.144400 1.904400 0.000000 0.144400 1.760000 0.072200 0.807800 0.245200
1.630000 0.000000 0.000000 0.136900 1.876900 0.000000 0.136900 1.740000 0.068450 0.801550 0.244367
1.640000 0.000000 0.000000 0.129600 1.849600 0.000000 0.129600 1.720000 0.064800 0.795200 0.243467
1.650000 0.000000 0.000000 0.122500 1.822500 0.000000 0.122500 1.700000 0.061250 0.788750 0.242500
1.660000 0.000000 0.000000 0.115600 1.795600 0.000000 0.115600 1.680000 0.057800 0.782200 0.241467
1.670000 0.000000 0.000000 0.108900 1.768900 0.000000 0.108900 1.660000 0.054450 0.775550 0.240367
1.680000 0.000000 0.000000 0.102400 1.742400 0.000000 0.102400 1.640000 0.051200 0.768800 0.239200
