t uniform_x uniform_y uniform_z chordal_x chordal_y chordal_z
0.351 -0.391403 -0.398791 0.829762 -0.345357 -0.366232 0.851336
0.352 -0.395823 -0.400357 0.826916 -0.350163 -0.368518 0.848364
0.353 -0.400244 -0.401864 0.824061 -0.354982 -0.370754 0.845381
0.354 -0.404665 -0.403312 0.8212 -0.359813 -0.372941 0.842388
0.355 -0.409088 -0.404701 0.818331 -0.364655 -0.375077 0.839385
0.356 -0.41351 -0.40603 0.815456 -0.369508 -0.377162 0.836373
0.357 -0.417932 -0.407299 0.812575 -0.374371 -0.379195 0.833353
0.358 -0.422353 -0.408508 0.809688 -0.379242 -0.381175 0.830324
0.359 -0.426772 -0.409656 0.806797 -0.384122 -0.383102 0.827287
0.36 -0.431191 -0.410744 0.803901 -0.389009 -0.384975 0.824244
0.361 -0.435607 -0.411771 0.801002 -0.393903 -0.386792 0.821194
0.362 -0.440021 -0.412736 0.798099 -0.398803 -0.388554 0.818138
0.363 -0.444432 -0.41364 0.795193 -0.403708 -0.390259 0.815077
0.364 -0.44884 -0.414483 0.792284 -0.408617 -0.391907 0.812011
0.365 -0.453245 -0.415263 0.789374 -0.41353 -0.393496 0.808941
0.366 -0.457645 -0.41598 0.786462 -0.418445 -0.395027 0.805868
0.367 -0.462042 -0.416635 0.783549 -0.423363 -0.396498 0.802791
0.368 -0.466433 -0.417227 0.780636 -0.428282 -0.397909 0.799711
0.369 -0.47082 -0.417756 0.777723 -0.433202 -0.399258 0.796629
0.37 -0.475201 -0.418221 0.774811 -0.438121 -0.400546 0.793546
0.371 -0.479576 -0.418623 0.7719 -0.443039 -0.401771 0.790462
0.372 -0.483945 -0.41896 0.76899 -0.447955 -0.402932 0.787378
0.373 -0.488308 -0.419233 0.766083 -0.452869 -0.404029 0.784294
0.374 -0.492663 -0.419441 0.763178 -0.457779 -0.405061 0.78121
0.375 -0.497011 -0.419585 0.760276 -0.462686 -0.406028 0.778128
0.376 -0.501351 -0.419663 0.757378 -0.467587 -0.406927 0.775047
0.377 -0.505683 -0.419676 0.754483 -0.472483 -0.40776 0.771969
0.378 -0.510007 -0.419623 0.751594 -0.477372 -0.408524 0.768894
0.379 -0.514321 -0.419504 0.74871 -0.482254 -0.40922 0.765822
0.38 -0.518627 -0.419318 0.745831 -0.487128 -0.409846 0.762754
0.381 -0.522922 -0.419066 0.742958 -0.491993 -0.410402 0.759691
0.382 -0.527207 -0.418748 0.740092 -0.496849 -0.410886 0.756633
0.383 -0.531482 -0.418362 0.737233 -0.501694 -0.411299 0.753581
